len_chars_per_word,len_tokens_per_word,len_words,punct_ellipsis_ratio,punct_!_ratio,punct_?_ratio,"punct_,_ratio",punct_._ratio,punct_;_ratio,punct_:_ratio,"punct_""_ratio",punct_'_ratio,punct_(_ratio,punct_)_ratio,bert_words_len,stopwords_ratio,label
6.242268041237113,1.1391752577319587,194,0.0,0.0,0.0,0.07216494845360824,0.041237113402061855,0.0,0.0,0.0,0.0,0.0,0.0,229,0.34497816593886466,1
15.394557823129253,1.1360544217687074,147,0.0,0.0,0.006802721088435374,0.04081632653061224,0.034013605442176874,0.0,0.0,0.0,0.027210884353741496,0.0,0.0,178,0.4438202247191011,0
6.4375,1.1388888888888888,144,0.0,0.0,0.0,0.0763888888888889,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,170,0.3588235294117647,1
5.059436913451512,1.05422314911366,959,0.0,0.0,0.0,0.011470281543274244,0.018769551616266946,0.0,0.0,0.006256517205422315,0.006256517205422315,0.0,0.0,1048,0.523854961832061,0
5.5426829268292686,1.0975609756097562,164,0.0,0.0,0.0,0.036585365853658534,0.042682926829268296,0.0,0.0,0.0,0.0,0.0,0.0,188,0.5,1
6.137614678899083,1.110091743119266,218,0.0,0.0,0.0,0.027522935779816515,0.05504587155963303,0.0,0.0045871559633027525,0.0,0.0,0.0,0.0,246,0.3983739837398374,1
5.051546391752577,1.0,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,0.4484304932735426,0
6.262135922330097,1.116504854368932,103,0.0,0.0,0.0,0.04854368932038835,0.04854368932038835,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,118,0.4067796610169492,1
4.837708830548926,1.097852028639618,419,0.0,0.0,0.0,0.059665871121718374,0.016706443914081145,0.00477326968973747,0.00477326968973747,0.0,0.002386634844868735,0.0,0.0,486,0.522633744855967,0
6.258620689655173,1.0948275862068966,116,0.0,0.0,0.0,0.02586206896551724,0.04310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,131,0.4351145038167939,1
10.94927536231884,1.065217391304348,276,0.0,0.0036231884057971015,0.0,0.0,0.04710144927536232,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,325,0.4276923076923077,0
5.96875,1.0982142857142858,224,0.0,0.0,0.0,0.03571428571428571,0.044642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,248,0.4475806451612903,1
6.762162162162162,1.135135135135135,185,0.0,0.0,0.0,0.07027027027027027,0.043243243243243246,0.0,0.0,0.0,0.005405405405405406,0.0,0.0,215,0.35348837209302325,1
4.8901098901098905,1.1758241758241759,182,0.0,0.0,0.0,0.08241758241758242,0.06593406593406594,0.0,0.0,0.0,0.03296703296703297,0.0,0.0,221,0.497737556561086,0
5.504743833017078,1.146110056925996,527,0.0,0.0,0.0,0.0777988614800759,0.04743833017077799,0.0018975332068311196,0.0,0.0,0.0,0.0018975332068311196,0.0018975332068311196,608,0.45723684210526316,0
5.994475138121547,1.0994475138121547,181,0.0,0.0,0.0,0.049723756906077346,0.03867403314917127,0.0,0.0,0.0,0.0,0.0,0.0,205,0.375609756097561,0
5.456140350877193,1.0935672514619883,342,0.0,0.0,0.0,0.03216374269005848,0.038011695906432746,0.0029239766081871343,0.0,0.0,0.005847953216374269,0.0,0.0,374,0.5401069518716578,0
5.072562358276644,1.0702947845804989,441,0.0,0.0,0.0,0.0045351473922902496,0.045351473922902494,0.0,0.0,0.009070294784580499,0.0,0.0,0.0,506,0.49407114624505927,0
6.532846715328467,1.145985401459854,137,0.0,0.0,0.0,0.072992700729927,0.072992700729927,0.0,0.0,0.0,0.0,0.0,0.0,163,0.37423312883435583,1
6.2362204724409445,1.094488188976378,254,0.0,0.0,0.0,0.03543307086614173,0.04330708661417323,0.0,0.0,0.0,0.0,0.0,0.0,285,0.4105263157894737,1
5.3477508650519034,1.157439446366782,578,0.0,0.0017301038062283738,0.0,0.04844290657439446,0.0657439446366782,0.00865051903114187,0.0017301038062283738,0.0,0.010380622837370242,0.0,0.0,708,0.4350282485875706,0
6.0520231213872835,1.138728323699422,346,0.0,0.0,0.0,0.06647398843930635,0.04046242774566474,0.005780346820809248,0.002890173410404624,0.0,0.0,0.0,0.0,396,0.44696969696969696,1
5.818867924528302,1.1320754716981132,265,0.0,0.0,0.0,0.052830188679245285,0.045283018867924525,0.0,0.0,0.007547169811320755,0.011320754716981131,0.0,0.0,307,0.41042345276872966,1
5.955696202531645,1.1075949367088607,158,0.0,0.0,0.0,0.03164556962025317,0.056962025316455694,0.0,0.0,0.0,0.006329113924050633,0.0,0.0,176,0.4659090909090909,1
5.7109375,1.078125,128,0.0,0.0,0.0,0.03125,0.0390625,0.0078125,0.0,0.0,0.0,0.0,0.0,143,0.44755244755244755,1
5.785365853658536,1.170731707317073,205,0.0,0.0,0.0,0.05853658536585366,0.08292682926829269,0.0,0.004878048780487805,0.00975609756097561,0.0,0.004878048780487805,0.004878048780487805,247,0.4251012145748988,0
6.046948356807512,1.1220657276995305,213,0.0,0.0,0.0,0.046948356807511735,0.04225352112676056,0.0,0.0,0.0,0.0,0.0,0.0,245,0.4163265306122449,1
5.249466950959488,1.072494669509595,469,0.0,0.0,0.0,0.017057569296375266,0.04051172707889126,0.0,0.0,0.0,0.0042643923240938165,0.0,0.0,498,0.5140562248995983,0
5.136363636363637,1.1643356643356644,286,0.0,0.0,0.0034965034965034965,0.07692307692307693,0.04195804195804196,0.0,0.0,0.0,0.024475524475524476,0.0,0.0,335,0.5462686567164179,0
